1_14:9459,9188,9057,9619,8978,9615,9094,9025,8626,8709,7842,7857,7668,7480,8353,8733,8882,9157,9004,8327,8817,8586,8703,8576,7260,7421,8110,8407,8432,8337,8948,8140,8769,7545,7366,6897,6771,6898,6637,7118,5346,5424,6012,5962,5582,5952,6640,6532,6589,6228,5550,4445,3476,4531,6152,4832,6487,7006,6762
1_15:9462,8900,7790,7965,8186,7969,8207,8402,8604,8714,8291,9236,9151,8247,7909,7801,7922,8355,7327,6971,8780,9323,8794,8861,8642,8379,7767,7657,7181,7244,7076,6777,7895,6928,6508,6077,6738,6464,6575,7240,7057,6802,6568,6324,6437,5991,4967,4742,4362,3593,4144,3483,4358,5345,5332,4124,5338,6184,5472
1_16:8783,9246,9386,9640,9250,9255,9060,8397,8111,7945,7643,7503,6693,5368,5455,5924,7261,8310,8336,7776,7812,7344,6962,7010,6995,7523,7428,7616,7484,7432,8188,7873,8654,8269,8375,7696,7504,7780,7778,6907,7233,7584,6600,7389,6974,7005,6154,5692,5766,5972,6517,6467,7408,7811,8390,7256,8649,9396,8840
1_17:9790,9719,9538,9146,8243,8489,8503,8130,7889,7881,8332,9092,8742,7459,7787,8210,8765,8695,8981,9031,8799,9658,9897,10580,10555,11278,11200,12035,10822,11142,11195,10126,10777,9801,9397,8635,8269,8265,7657,7465,8012,7476,7760,8609,8180,8353,8604,8961,8392,8224,9321,9039,8901,9546,10460,9497,10852,11247,11124
1_18:9504,9075,9019,9366,8404,8083,9372,8669,9425,9633,10008,9800,9387,8880,9232,9703,9658,10184,10833,10726,10702,11342,11514,11520,10897,10808,11456,11979,11598,11670,11797,11561,12193,11139,10659,10235,10035,10125,9246,8738,8679,8414,7963,7423,6622,7164,7569,7681,7765,7135,8592,7967,7736,8039,7706,7017,8410,8752,10927
1_19:10039,10066,10326,10335,9537,9399,10512,9550,9770,9625,9717,10535,10721,10719,10932,11001,10731,10315,10744,11528,11904,12146,12064,12122,11887,11804,11869,12041,11153,11116,10774,10577,10581,10715,11271,11524,11530,11895,11141,11249,10834,10062,9853,9348,8794,9406,9094,8600,8627,8186,8334,7839,7889,7776,7581,6334,6674,7640,8929
1_20:9537,8656,9206,9436,9455,9346,10259,9759,10005,9535,8981,9261,8957,9047,9234,9576,9836,10619,10412,10358,9936,10182,11338,12090,12303,11853,11116,11512,10528,10346,10585,10062,10953,11092,11065,10763,10681,11064,10669,10411,9644,9469,9906,9682,9712,10112,9683,9562,9465,9156,8772,8715,8547,9133,8709,7540,9590,10075,10165
1_21:8655,7675,8396,8195,8365,8839,8501,8199,8142,8922,8852,9751,9403,9935,9609,9438,9445,9634,9397,9635,10158,9404,8825,8469,8653,9257,9529,9996,9341,9796,9628,9113,9901,9403,9028,8536,9197,9708,8936,9045,8963,8669,9508,9342,8559,8251,8534,8538,9295,9116,9012,8242,7915,7494,7604,5996,7367,7720,7559
1_22:9944,9725,9393,8792,8064,8663,8878,9650,9106,8912,7883,9640,9661,8110,7610,7547,8273,8712,9615,9485,10163,10374,10013,9705,9726,9437,9448,9202,7856,8270,8541,7780,8848,7844,8201,8162,8467,8359,8473,8777,8930,9168,9196,8712,8784,9380,9399,7919,7930,7295,7254,7515,7328,6732,7342,5234,7047,7566,7501
1_23:8324,7457,7043,6246,5497,4909,4531,4132,4033,4668,5199,4879,5560,5789,6855,7383,8285,8919,9332,8597,8716,9216,9236,9463,9670,9615,8824,9414,8785,8459,8232,7690,8627,7748,7841,7597,7756,8389,7686,7622,7441,8004,7725,6379,6797,7670,7692,7082,7564,7724,8488,8909,8986,8815,8759,6470,7904,7144,6719
1_24:7649,6586,6743,6605,6965,6867,6600,6287,6356,6430,6244,6845,7493,7065,7343,7234,7868,8006,8603,8200,8639,9057,8802,8635,9036,9398,8855,9031,8474,8156,7999,7979,9000,7797,8111,7972,7866,7584,7284,7026,7312,7877,7994,7940,7748,7200,6892,6807,6747,7129,7286,6508,6509,6383,6260,4490,5504,6319,5977
1_25:10272,9495,9845,9444,8637,8683,7996,8020,7939,8601,8338,8762,8697,7579,7516,7153,7470,7204,7162,6936,6991,7372,7476,8266,8699,9518,9195,10096,9906,9635,9653,9305,10029,9399,9143,8972,8864,8684,8288,8389,8094,8255,9037,8879,8728,8534,8342,8477,7911,7458,8078,7497,7915,8084,8134,6680,8131,8337,8387
1_26:9478,8814,8900,9495,8970,9368,9320,9122,8792,8978,8088,7747,7437,7080,7530,7299,7660,7738,8286,7973,8553,8305,8283,8659,8303,8017,7954,7848,7670,6697,7088,6562,7915,7337,6795,6351,6817,7056,6126,5981,6523,6110,5494,5929,5862,5656,5914,6815,6692,6870,7267,7484,7737,7720,8080,5793,7776,7933,7558
1_27:8800,8383,8353,9098,8443,8400,8121,7932,7393,7579,7641,8027,8267,7826,8031,7715,7726,7605,7717,6755,6824,7015,7146,7823,6697,6650,6855,7278,7187,7469,7459,6120,7177,5937,5359,5453,5738,5761,5376,4620,4387,4007,3209,3789,3334,2950,3040,4137,3915,3516,3976,5277,4796,4849,5555,4277,5389,6217,5755
1_28:9243,8783,8311,8404,7609,7431,7983,7692,7208,7287,7470,7709,7784,7318,7766,7859,8299,8378,8332,7797,8306,8725,8589,9291,9033,8992,8759,9163,9034,8680,8762,8245,9844,9085,9191,8886,9055,9169,7636,7325,7425,7641,7840,8149,7543,8210,8113,8307,8938,9039,9505,9326,10099,9996,10792,9036,10568,10673,9893
1_29:9802,9799,9506,9598,8769,9033,9323,9122,9029,9064,9195,8679,9231,9120,9706,9907,9716,10254,10699,9819,10321,10284,10271,10939,10540,10780,10429,10933,10243,9914,10010,9795,11116,10296,10714,10143,10135,10464,10135,9587,9453,9930,9751,9467,8678,9587,9646,9944,9622,9720,9561,9000,9173,9504,9199,8205,9245,9618,8807
1_30:10369,10143,9969,10005,10066,10404,10756,10362,10341,10470,10797,10192,10198,9845,9874,9979,9067,9368,10242,9774,9365,9378,9164,9399,8867,8400,9208,9559,8442,8900,9116,9072,9528,9289,9630,9571,9685,10167,9693,9443,9632,9959,10120,10286,9808,9406,9173,9749,9531,9687,9034,7810,7861,7688,7645,6695,8091,8229,7566
1_31:10455,9995,9802,10123,9594,9965,10724,10104,9788,9765,9886,10125,10408,10383,9984,10248,10048,10108,10473,10487,10124,10148,9922,10285,9724,9372,8959,9712,9466,9404,9701,9258,9837,9320,9602,9587,9642,10138,9841,10408,10701,9964,10105,10175,10055,9870,8962,9174,9311,9522,10188,9327,9274,8865,7946,6704,8121,7901,8293
1_32:9775,9457,10248,9802,9754,9912,10918,10708,10941,9899,9730,9899,9461,9159,9615,9704,9920,10027,10316,9913,9575,10093,10213,10794,10803,10655,10337,11082,10262,10547,10920,10337,10783,10437,10362,9631,9772,10546,10100,10619,10710,10558,10459,10146,9593,9760,9431,10092,10071,10300,10902,10516,10429,10467,10201,8840,9920,10152,9981
1_33:9873,9497,9282,9468,8600,8406,8249,7727,7955,8620,8440,9257,9117,8586,8634,8599,8417,7868,8169,8257,8494,8416,8598,8059,8134,8042,8469,9246,8804,8895,9214,8767,9579,9117,9042,8715,8738,8639,8442,8234,8628,8260,8768,8413,8059,8587,8459,8778,8719,8815,9148,9180,9300,8936,8760,7671,8682,8562,8302
1_34:9330,9623,9752,8878,8912,9271,9609,9669,9743,9970,9328,8826,8627,8142,8246,7698,7385,7524,7986,8448,8953,9360,9518,10287,10471,10550,10609,10652,9603,9027,9031,8779,9543,8717,8550,8412,8667,8530,8286,7807,7991,8113,8236,7881,8005,7841,8102,7751,8233,8245,8393,8475,8762,8714,8475,6974,8108,7513,7442
